gene	target	gene_short_name	cdsName	padj	log2FoldChange	evalue	bits
TRINITY_DN5370_c0_g1	NA	NA	NA	3.72038030235043e-68	-10.195987504417136	NA	NA
TRINITY_DN1943_c0_g1	NV2.123	tbk1-like	IKK	1.4695838081766569e-67	-2.305326783841156	1.22e-112	386
TRINITY_DN2644_c0_g1	NV2.12142	ist1-like	-	1.4695838081766569e-67	-2.4444805160240417	1.98e-97	325
TRINITY_DN2934_c0_g1	NV2.14462	copb2-like	-	5.144104284654494e-67	-2.15962221840889	0	1449
TRINITY_DN978_c1_g2	NA	NA	NA	7.095353337885411e-67	-4.033385371748649	NA	NA
TRINITY_DN3128_c0_g1	NA	NA	NA	1.4349929376102844e-66	-3.6588407295987473	NA	NA
TRINITY_DN5381_c0_g1	NV2.7104	erd22-like	-	2.5452743764556816e-66	-2.386045512695038	3.76e-117	374
TRINITY_DN1700_c0_g1	NA	NA	NA	2.817803149477589e-66	-2.7755087086192445	NA	NA
TRINITY_DN90_c0_g1	NV2.4399	pol-like-3	-	3.001280533934015e-66	3.0616526315877923	0	1107
TRINITY_DN2885_c0_g1	NV2.23307	ari3c-like	-	1.149658323239439e-65	3.4302330966033847	3.71e-30	131
TRINITY_DN200_c0_g1	NA	NA	NA	2.1403894702392277e-65	2.1507853401767014	NA	NA
TRINITY_DN6249_c0_g1	NV2.4066	cadn-like-2	-	4.385717565389361e-63	3.564495062349129	7.99e-83	287
TRINITY_DN933_c0_g1	NV2.1747	auhm-like	-	5.672929530644754e-63	-4.605411239574647	2.07e-19	91
TRINITY_DN75_c0_g1	NA	NA	NA	1.3466945620863962e-62	-3.8528495352023495	NA	NA
TRINITY_DN371_c3_g1	NV2.22655	rhbl4-like	-	1.6190945613987382e-62	-3.221274083271997	7.289999999999999e-67	239
TRINITY_DN427_c0_g1	NA	NA	NA	1.025980865815465e-61	-2.8709487826720514	NA	NA
TRINITY_DN4410_c0_g1	NA	NA	NA	1.1061132924552126e-61	-4.096885179400813	NA	NA
TRINITY_DN644_c1_g1	NA	NA	NA	1.3190314517741798e-61	-2.795387728699568	NA	NA
TRINITY_DN521_c0_g1	NA	NA	NA	1.4880821299371767e-61	4.1049026106568585	NA	NA
TRINITY_DN4371_c0_g1	NV2.11903	fbp1-like-6	-	1.7007459672210304e-61	4.678127670541657	2.95e-17	86
TRINITY_DN2063_c0_g1	NV2.19606	rtn1a-like	-	7.528014820852853e-61	-2.5198564037334834	1.11e-58	211
TRINITY_DN489_c0_g2	NV2.17831	sting-like-2	-	1.848845114566796e-60	-3.1185821731433263	4.65e-29	121
TRINITY_DN2200_c0_g1	NV2.19823	sc23a-like	-	4.2257254334820556e-60	-2.0073303006840106	0	1254
TRINITY_DN22962_c0_g1	NV2.2637	cbp-like	-	1.5336272539822215e-59	-4.0552311780572605	1.49e-15	79
TRINITY_DN4494_c0_g2	NA	NA	NA	2.650821259465352e-59	4.418716937834086	NA	NA
TRINITY_DN8383_c0_g1	NV2.6716	fkbp2-like	-	1.926519384868269e-58	4.1303761819402105	2.1599999999999997e-54	196
TRINITY_DN386_c2_g1	NA	NA	NA	2.9895013350031892e-58	3.3454066574577537	NA	NA
TRINITY_DN8802_c0_g1	NV2.10695	spart-like	-	4.153447194115649e-58	-2.8647555070463824	2.9399999999999998e-99	338
TRINITY_DN6983_c0_g1	NV2.17645	ctrl-like-1	-	4.898402453265587e-58	-2.720660781120731	1.12e-5	42
TRINITY_DN2069_c0_g1	NV2.10004	dkk3-like-1	-	6.1776485909298154e-58	4.007052329423971	1.65e-88	290
TRINITY_DN371_c1_g1	NV2.17741	cd151-like	-	1.8272498905223918e-57	-2.6851751256747907	1.24e-39	151
TRINITY_DN396_c0_g1	NV2.13302	tmed7-like-1	-	1.9616438879378428e-57	-2.440229200439401	1.37e-82	274
TRINITY_DN5789_c0_g1	NA	NA	NA	1.0752822003988234e-56	4.748724320131746	NA	NA
TRINITY_DN380_c0_g1	NV2.23959	malt1-like-1	-	1.4484670285722552e-56	-2.5889794985850947	5.26e-111	379
TRINITY_DN3909_c0_g1	NV2.20721	nfkb1-like	I-kappa-B	2.125508878209939e-56	-2.3336173714693498	1.31e-29	124
TRINITY_DN1176_c0_g1	NV2.19352	nv2.19352	-	3.1487256509362124e-56	3.021296959681855	4.35e-7	56
TRINITY_DN4779_c0_g1	NV2.2039	copg2-like	-	3.1487256509362124e-56	-1.9884661865189313	0	1305
TRINITY_DN1000_c0_g1	NA	NA	NA	7.562800396071478e-56	4.271661103200652	NA	NA
TRINITY_DN1629_c0_g1	NV2.22115	angl7-like	-	7.562800396071478e-56	6.960222394458024	2.34e-93	325
TRINITY_DN3573_c0_g3	NA	NA	NA	1.7093877913439e-55	4.1640586787213705	NA	NA
TRINITY_DN1590_c0_g1	NA	NA	NA	3.877101442617667e-55	3.2625788622466625	NA	NA
TRINITY_DN1922_c0_g1	NV2.25851	hmcn1-like-11	-	7.181323828107274e-54	3.458007646704243	2.84e-136	465
TRINITY_DN442_c0_g1	NA	NA	NA	3.5177506599685825e-53	5.187816724161056	NA	NA
TRINITY_DN8030_c0_g1	NA	NA	NA	5.561899348583414e-53	4.849582206586116	NA	NA
TRINITY_DN8152_c0_g1	NV2.14173	osbp2-like-1	-	1.2241945102077567e-52	-2.243733810615833	6.33e-139	447
TRINITY_DN3654_c0_g1	NV2.10006	dkk3-like-3	dickkopf3-like 1	5.1648344860696356e-52	3.646981001500543	1.59e-90	296
TRINITY_DN20133_c0_g1	NV2.23248	cot2-like-1	-	9.573699164963988e-52	4.614913682916584	2.42e-117	391
TRINITY_DN2492_c0_g1	NV2.17587	ykt6-like	-	9.573699164963988e-52	-2.451283318051492	2.4399999999999997e-72	243
TRINITY_DN1062_c0_g1	NV2.20821	ppn-like-2	-	2.3612622689150125e-51	2.207771991654198	3.03e-185	608
TRINITY_DN46861_c0_g1	NV2.16784	tmed-like	-	1.0357986799828213e-50	-2.1539144613196375	2.0099999999999998e-98	319
TRINITY_DN890_c0_g1	NV2.10185	creb-like	-	1.481744295523639e-50	2.2838373707897994	9.36e-48	183
TRINITY_DN23880_c0_g2	NV2.18704	got1b-like	-	3.7463289223294024e-50	-2.3905617602110696	3.7e-64	218
TRINITY_DN5509_c0_g1	NV2.20872	nald2-like-2	-	3.7463289223294024e-50	4.609977468080437	2.9799999999999994e-159	522
TRINITY_DN1467_c0_g1	NV2.25090	pink1-like	-	4.950980420072598e-50	-1.9986614799246047	7.55e-75	266
TRINITY_DN1993_c0_g1	NV2.12183	muc1-like-2	-	6.778151557500612e-50	-3.3429911229539124	4.64e-40	163
TRINITY_DN682_c0_g1	NV2.2930	pkd2-like-1	-	8.746914832581322e-50	2.4018473614841045	0	1166
TRINITY_DN8885_c0_g1	NV2.20273	tmeda-like-1	-	1.7825282320913043e-49	-2.3219356225081835	2.3699999999999997e-89	293
TRINITY_DN426_c2_g4	NA	NA	NA	1.9749740181224553e-49	3.710378176895384	NA	NA
TRINITY_DN2374_c0_g1	NV2.25984	lamc-like	-	2.619510497840923e-49	2.956017113189542	1.13e-138	451
TRINITY_DN1894_c0_g1	NV2.18585	pgcb-like-2	-	2.6712849074945814e-49	3.7566550074583174	3.67e-63	239
TRINITY_DN446_c0_g1	NV2.11298	agrd1-like-4	-	7.432516983543767e-49	3.103937752775924	6.69e-45	182
TRINITY_DN2437_c0_g1	NV2.10085	copa-like	-	7.821594415057924e-49	-1.756343269300605	0	1995
TRINITY_DN143_c0_g1	NA	NA	NA	8.847408605175957e-49	-3.267636008532995	NA	NA
TRINITY_DN372_c0_g1	NA	NA	NA	3.6246789105614754e-48	-2.7668891945049237	NA	NA
TRINITY_DN16_c2_g1	NA	NA	NA	5.480685380882697e-48	3.983660975338527	NA	NA
TRINITY_DN1173_c0_g1	NV2.23275	ats19-like	-	6.123896201310489e-48	3.526852590126389	4.15e-267	856
TRINITY_DN2803_c0_g1	NV2.8572	fa8-like-12	-	8.709124475220782e-48	2.4026603142599208	5.6499999999999995e-118	398
TRINITY_DN6182_c0_g1	NA	NA	NA	9.659515743829069e-48	6.108763100378497	NA	NA
TRINITY_DN1421_c0_g1	NV2.6934	erf3a-like	-	2.390242240689885e-47	-2.4224683863632195	1.5299999999999998e-223	703
TRINITY_DN1816_c1_g1	NV2.2923	vgfaa-like	-	4.2136547306550944e-47	-2.4265919154252518	2.5e-18	92
TRINITY_DN2935_c0_g1	NV2.6461	fkbp2-like-3	-	4.732152805792948e-47	-2.1097822656351903	5.87e-44	162
TRINITY_DN192_c0_g1	NV2.13014	pdia5-like	-	7.629681125426292e-47	-1.956059023112079	5.08e-278	876
TRINITY_DN5372_c0_g1	NV2.2385	dnjb4-like-2	-	9.70888135428846e-47	-2.2755007446859112	4.72e-38	145
TRINITY_DN1189_c0_g1	NV2.11219	pdc6i-like	-	1.2763989163455596e-46	-1.8943011249845172	6.5e-244	773
TRINITY_DN1436_c0_g1	NV2.17765	gptc4-like	Shak1	1.507936313662543e-46	3.04039137304532	4.06e-128	422
TRINITY_DN2119_c0_g1	NV2.2225	hdac6-like-1	-	1.6322524574192317e-46	-2.013021734224237	3.83e-110	362
TRINITY_DN841_c0_g1	NV2.20147	isca2-like	-	2.3662158183701947e-46	-1.9094133407979421	9.419999999999999e-209	666
TRINITY_DN3464_c0_g1	NV2.6788	nv2.6788	-	2.657331673630076e-46	3.2379819471268436	7.36e-189	618
TRINITY_DN1833_c0_g1	NA	NA	NA	4.016346667348529e-46	3.5299616579744812	NA	NA
TRINITY_DN4665_c0_g1	NV2.13500	nv2.13500	-	5.08634560751742e-46	4.0636826416299066	3.1e-36	155
TRINITY_DN3082_c0_g1	NV2.24249	mom5-like	Fz1-like protein	8.100477625975891e-46	2.5811996011069067	9.45e-34	132
TRINITY_DN2327_c0_g1	NV2.23250	ces2-like	-	1.483685874098951e-45	-1.8796554837464496	8.79e-7	54
TRINITY_DN1964_c0_g1	NV2.17429	hmcn1-like-26	-	1.5387776475584024e-45	2.6300052433076533	2.0299999999999995e-101	357
TRINITY_DN7668_c0_g1	NA	NA	NA	2.9513635664309255e-45	5.331033219684166	NA	NA
TRINITY_DN10226_c0_g1	NA	NA	NA	3.2937469441503574e-45	-7.293275310526786	NA	NA
TRINITY_DN3079_c0_g1	NV2.8091	pdxd1-like	-	3.6941903150539036e-45	-1.997079738506156	3.5399999999999996e-161	531
TRINITY_DN5968_c1_g1	NV2.8976	kex2-like	-	3.6941903150539036e-45	3.6806432299323166	0	1069
TRINITY_DN6026_c0_g1	NV2.14656	sc5a7-like	-	6.358815029429696e-45	3.3974826850830975	2.4399999999999998e-174	557
TRINITY_DN3129_c0_g1	NA	NA	NA	1.0778380812972602e-44	4.0935817145952225	NA	NA
TRINITY_DN493_c0_g1	NV2.22033	yrd6-like-34	-	2.648031993393909e-44	-2.525957312056105	0	1234
TRINITY_DN1348_c0_g1	NV2.22542	beta-like	beta-tubulin	2.9497489378699126e-44	2.1950369543602304	5.43e-93	301
TRINITY_DN1389_c0_g1	NV2.18598	galaxin	-	3.1139825959483217e-44	-2.979331598595068	4.49e-46	166
TRINITY_DN951_c0_g1	NV2.9341	ubiqp-like	-	5.182324976520453e-44	-1.9714028433533723	2.1799999999999997e-224	690
TRINITY_DN5214_c0_g1	NV2.16338	co6a5-like-1	-	5.388701649120572e-44	4.261614135693155	6.44e-34	146
TRINITY_DN7903_c0_g1	NV2.24873	mb12b-like	-	6.002790707350658e-44	-2.4199898042734502	1.3499999999999998e-42	160
TRINITY_DN3405_c0_g1	NA	NA	NA	7.644709249592717e-44	-3.4019056097075153	NA	NA
TRINITY_DN3404_c0_g1	NV2.4487	ga45g-like	-	8.532882595288548e-44	-2.224283912995728	2.22e-5	47
TRINITY_DN2919_c0_g1	NV2.23580	litaf-like-2	-	8.967352975589162e-44	-3.283226580587804	4.21e-18	83
TRINITY_DN5811_c0_g1	NV2.54	nhaa-like	-	9.46497109378021e-44	-2.885170247153545	7.529999999999999e-72	246
TRINITY_DN7868_c0_g1	NV2.6439	fbp1-like-7	-	1.0200153764910791e-43	4.1756103303809144	1.05e-179	604
TRINITY_DN10910_c1_g1	NA	NA	NA	2.218105027551888e-43	-4.788644526925494	NA	NA
TRINITY_DN2700_c0_g1	NV2.10639	nv2.10639	-	2.3792505602871234e-43	4.399300886154648	2.2700000000000002e-80	273
TRINITY_DN3660_c0_g1	NV2.23884	tsp4-like	thrombospondin	2.428105564811194e-43	2.4142563721493184	1.1099999999999998e-179	596
TRINITY_DN2717_c0_g1	NV2.4048	gslg1-like	-	5.4132071340564416e-43	-1.8321021490335694	9.170000000000001e-282	901
TRINITY_DN2224_c0_g1	NV2.17571	nv2.17571	-	6.418139212785115e-43	-2.1550572958637293	4.86e-11	70
TRINITY_DN721_c0_g1	NV2.13826	ubc12-like-2	-	1.8072142662391565e-42	-2.5329810904038994	1.5200000000000002e-27	114
TRINITY_DN419_c0_g1	NV2.18695	sc5a8-like	-	1.8354689435705224e-42	2.2879749941555225	1.0899999999999998e-202	643
TRINITY_DN4153_c0_g1	NA	NA	NA	2.7573418656760256e-42	4.587460775903217	NA	NA
TRINITY_DN3475_c0_g2	NV2.9136	kdm8-like-2	-	3.380767984036146e-42	2.784883448284793	1.76e-9	55
TRINITY_DN1378_c0_g1	NV2.17996	tysy-like	-	1.277392944089157e-41	5.105562283693255	5.239999999999999e-158	497
TRINITY_DN113_c0_g1	NV2.15721	pol5-like-4	-	2.076585243980824e-41	-2.519332080698216	3.0599999999999996e-151	519
TRINITY_DN3258_c0_g1	NV2.6019	nas13-like	-	2.5844259548559677e-41	2.6439180209577873	5.13e-127	425
TRINITY_DN816_c0_g1	NV2.1681	stl1-like-5	-	3.8502004484906494e-41	-2.012000981078431	9.579999999999999e-144	465
TRINITY_DN2860_c0_g1	NV2.23124	hmcn1-like-34	-	5.262657388053887e-41	2.4868997331061165	5.499999999999999e-237	812
TRINITY_DN4124_c0_g1	NV2.15816	gcn1-like-1	-	8.338155841274547e-41	-1.7171100914890918	0	1200
TRINITY_DN5417_c0_g1	NV2.11301	gars-like	-	8.338155841274547e-41	-2.074537155953904	2.07e-305	951
TRINITY_DN508_c0_g1	NV2.2846	if2p-like	-	1.1066222581197716e-40	-1.847155650267513	2.47e-305	1022
TRINITY_DN287_c0_g2	NV2.12166	kcnf1-like	-	1.1916060524831136e-40	2.677426608675369	8.68e-51	194
TRINITY_DN2448_c0_g1	NV2.693	fbxw9-like	-	1.2541479022435243e-40	-2.7404056583749528	4.61e-77	269
TRINITY_DN3922_c0_g1	NV2.23613	nec1-like-1	-	1.7219981774368578e-40	2.4028409455268904	1.8099999999999996e-304	951
TRINITY_DN4708_c0_g1	NV2.5203	chm4b-like	-	2.0356312092852756e-40	-1.825916260917792	5.87e-78	260
TRINITY_DN17561_c0_g1	NV2.5550	noc	-	2.2203311763952715e-40	3.663920413052565	3.2500000000000004e-33	138
TRINITY_DN19250_c0_g1	NV2.15161	mcfd2-like-1	-	2.2203311763952715e-40	-2.363771854935312	1.8400000000000002e-29	117
TRINITY_DN3173_c0_g1	NV2.17727	mb211-like-1	mab21-like 2	2.63224129949717e-40	-2.142745283788419	1.1999999999999998e-31	133
TRINITY_DN322_c0_g1	NV2.801	agrg6-like-2	-	3.00200513035626e-40	-3.3179205782303436	6.26e-84	313
TRINITY_DN236_c0_g2	NV2.8273	chm1b-like	-	3.921765893003564e-40	-1.967549695208113	2.62e-84	278
TRINITY_DN7690_c0_g1	NV2.1925	ggt1-like-7	-	4.249851452217962e-40	4.255912595896872	1.7599999999999999e-147	482
TRINITY_DN6917_c0_g1	NV2.7046	pmm-like-1	-	4.6006706688366385e-40	-2.329727364015807	1.6899999999999998e-106	344
TRINITY_DN445_c0_g1	NV2.890	lrc40-like	-	5.187535393377602e-40	-2.0298121789739394	3.8499999999999993e-165	533
TRINITY_DN5977_c0_g1	NV2.20551	s39a9-like	-	5.65337282463876e-40	-2.361702044770323	3.89e-93	310
TRINITY_DN1370_c0_g1	NA	NA	NA	5.98671229619914e-40	-2.2934458535354065	NA	NA
TRINITY_DN2736_c0_g1	NV2.7394	nogg-like-1	noggin1	9.766378369781004e-40	2.8558383070565942	3.96e-24	106
TRINITY_DN3996_c0_g1	NA	NA	NA	1.373986973153183e-39	-3.839372416000035	NA	NA
TRINITY_DN1724_c0_g1	NV2.17777	tmed4-like	-	1.621947240177939e-39	-2.052314216590035	1.7599999999999998e-112	361
TRINITY_DN3052_c0_g1	NV2.18783	vglu1-like-4	-	1.8304386821570574e-39	2.9867029769342595	8.3e-209	655
TRINITY_DN1647_c0_g1	NV2.14503	icmt-like	-	1.886643631710512e-39	-2.4395551265926727	2.8500000000000002e-27	116
TRINITY_DN542_c0_g1	NV2.24377	sc22b-like	-	3.5062126474600523e-39	-2.1763072844968807	1.47e-85	282
TRINITY_DN9452_c0_g1	NV2.25450	surf4-like-1	-	4.0537671555120906e-39	-1.7859344947889972	1.6699999999999998e-107	349
TRINITY_DN5174_c0_g2	NV2.12411	co6a5-like	-	4.8784254473170335e-39	-2.0362920281327934	1.0899999999999999e-32	139
TRINITY_DN7074_c0_g1	NV2.20859	yif1b-like	-	6.660606316489646e-39	-1.9239732958463982	1.5399999999999997e-110	361
TRINITY_DN1408_c0_g1	NV2.10708	tyro-like-1	-	7.23669105088096e-39	2.775918366332351	1.4699999999999996e-55	207
TRINITY_DN1402_c0_g1	NV2.22042	rab7l-like	-	9.693701171512152e-39	-1.820797846836369	5.94e-10	67
TRINITY_DN418_c0_g1	NV2.2068	tera-like	-	2.0627160644149424e-38	-1.5697552843355593	0	1399
TRINITY_DN565_c0_g1	NV2.10811	chm2a-like	-	2.2213552592668993e-38	-2.329611375837791	7.609999999999999e-95	309
TRINITY_DN1687_c0_g1	NV2.13833	nfkb1-like-1	NF-kappaB-Cys	2.3884941010369703e-38	-2.072665190002329	1.2399999999999998e-88	302
TRINITY_DN1544_c0_g1	NV2.18480	txd12-like-1	-	2.5691556195233654e-38	2.4405571599013642	1.8599999999999997e-193	627
TRINITY_DN6317_c0_g1	NV2.880	zswim4-6	-	2.8231876710367596e-38	2.5989678991020373	5.759999999999999e-170	565
TRINITY_DN2983_c0_g1	NV2.13059	pva-like-1	-	3.837558866755245e-38	3.512223915082311	2.04e-28	128
TRINITY_DN3449_c0_g1	NV2.15273	tprgl-like	-	6.509157734112039e-38	-1.928851202756886	1.29e-56	201
TRINITY_DN1006_c0_g1	NA	NA	NA	8.329915122101195e-38	-2.6066854321068145	NA	NA
TRINITY_DN3178_c0_g1	NV2.21749	soxb2(sox1)	sox family protein 1	9.379580628402665e-38	3.048002920080013	1.4e-22	100
TRINITY_DN4885_c0_g1	NV2.18560	lin41-like-2	-	1.0732421755697782e-37	3.3176787032538937	2.77e-155	514
TRINITY_DN244_c0_g1	NV2.15341	nv2.15341	-	1.1453888940794835e-37	-2.344044344784388	1.85e-11	70
TRINITY_DN3934_c0_g2	NV2.16650	y2124-like	-	1.1674652768257322e-37	2.46381948361677	6.02e-46	172
TRINITY_DN5603_c0_g1	NV2.22629	tm9s2-like	-	1.3749580771261004e-37	-1.6107421582178438	2.8e-305	951
TRINITY_DN1230_c0_g1	NV2.19039	ckap5-like-1	-	3.026300127040086e-37	-1.7851906794254533	0	1563
TRINITY_DN9295_c0_g1	NV2.15083	plk1-like-1	-	3.026300127040086e-37	3.9896070282185683	7.079999999999999e-232	727
TRINITY_DN2417_c0_g1	NA	NA	NA	3.202949205511708e-37	2.730848884890702	NA	NA
TRINITY_DN961_c0_g1	NA	NA	NA	5.888557584070438e-37	-2.7272973515998147	NA	NA
TRINITY_DN210_c0_g1	NV2.15516	rir2-like	-	7.3252584507031496e-37	2.7106233942276767	2.2199999999999996e-168	528
TRINITY_DN6348_c0_g1	NV2.13543	ryar-like-4	-	1.149104613527525e-36	-2.4062780266493933	1.01e-12	74
TRINITY_DN2931_c0_g1	NA	NA	NA	1.3566449382309006e-36	-2.8351917737043757	NA	NA
TRINITY_DN1209_c0_g1	NA	NA	NA	1.9862744291758483e-36	-5.761300122473476	NA	NA
TRINITY_DN610_c0_g2	NV2.20129	hig1a-like	-	2.6270098777447998e-36	-2.6677340753081884	9.800000000000001e-26	104
TRINITY_DN2053_c0_g1	NV2.14572	dut-like	-	3.6751601280775204e-36	4.4945272060793435	2.94e-46	169
TRINITY_DN664_c1_g1	NV2.22136	prga-r.32	-	4.97475704758041e-36	-2.591524995557892	3.04e-22	103
TRINITY_DN1693_c0_g1	NA	NA	NA	5.329706039183709e-36	-2.0404883509816916	NA	NA
TRINITY_DN1712_c0_g1	NV2.133	syph-like	-	5.4841258941926556e-36	-1.7560436387139235	1.08e-52	190
TRINITY_DN1553_c0_g1	NV2.24779	tmps6-like-2	NvBf-1	5.547332771174027e-36	-1.9367940831938943	1.1099999999999998e-99	348
TRINITY_DN1186_c0_g1	NV2.468	bap31-like	-	5.654153069266459e-36	-2.343212330933832	1.42e-62	217
TRINITY_DN3888_c1_g1	NA	NA	NA	6.919784442763411e-36	3.6634621963678273	NA	NA
TRINITY_DN880_c1_g1	NA	NA	NA	8.658230152087132e-36	4.261152868064231	NA	NA
TRINITY_DN58145_c0_g1	NV2.11074	mfsd6-like-12	-	1.0219007943804813e-35	4.655750597450231	4.029999999999999e-200	638
TRINITY_DN1498_c0_g2	NA	NA	NA	1.0231120704842189e-35	-3.158584200162869	NA	NA
TRINITY_DN1558_c0_g1	NV2.900	armet-like	-	1.0763830529389763e-35	-1.8889915216818431	6.899999999999999e-57	198
